from,to,relationship
uvl,500,1
uvl,CDU,1
lk,500,1
lk,SPD,1
nr,500,1
nr,CDU,1
sw,500,1
sw,Die Linke,1
cs,500,1
cl,501,1
cl,FDP,1
nr,501,1
nr,CDU,1
ab,502,1
ab,Bündnis 90/Die Grünen,1
ft,502,1
am,502,1
agl,502,1
agl,FDP,1
er,502,1
ks,502,1
lm,503,1
kd,503,1
el,503,1
rh,503,1
rh,Bündnis 90/Die Grünen,1
lk,503,1
lk,SPD,1
cm,503,1
kp,503,1
rk,503,1
rk,CDU,1
